Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
51979907,EUR/USD,10000,11/14/2012 03:47:00,11/14/2012 04:45:00,1.27355,1.27507,Short,-15.2,0,0,0,0,-15.2,LE,SE,3000047258
52077875,EUR/USD,13000,11/20/2012 05:35:00,11/20/2012 08:15:00,1.2817,1.28141,Short,3.77,0,0,0,0,3.77,LE,SE,3000047258
52101307,EUR/USD,10000,11/20/2012 23:15:00,11/20/2012 23:15:00,1.2737,1.2747,Long,-10,0,0,0,0,-10,LE,SE,3000047258
52162030,AUD/USD,13000,11/26/2012 04:34:00,11/26/2012 17:04:00,1.04713,1.04439,Long,35.62,0,0,0.74,0,36.36,LE,LE,3000047258
52181387,EUR/USD,6000,11/29/2012 09:59:00,11/29/2012 20:19:00,1.30001,1.29839,Short,9.72,0,0,0.04,0,9.76,LE,SE,3000047258
52300004,EUR/USD,13000,12/03/2012 21:34:00,12/04/2012 02:42:00,1.30742,1.30482,Long,33.8,0,0,0,0,33.8,LE,LE,3000047258
52281219,EUR/USD,9000,12/04/2012 03:44:00,12/04/2012 06:39:00,1.30808,1.308,Short,0.72,0,0,0,0,0.72,LE,SE,3000047258
52308662,AUD/USD,15000,12/04/2012 07:47:00,12/05/2012 07:44:00,1.04763,1.04758,Short,0.75,0,0,-1.64,0,-0.89,LE,SE,3000047258
52323932,EUR/JPY,19000,12/05/2012 06:51:00,12/05/2012 07:21:00,107.272,107.358,Long,-19.89,0,0,0,0,-19.89,LE,SE,3000047258
52415111,USD/CAD,18000,12/10/2012 20:47:00,12/11/2012 04:16:00,0.98696,0.98777,Short,-14.76,0,0,0,0,-14.76,Mkt,SE,3000047258
52435199,EUR/JPY,24000,12/11/2012 19:00:00,12/11/2012 19:02:00,107.318,107.381,Long,-18.32,0,0,0,0,-18.32,LE,SE,3000047258
52339496,EUR/JPY,15000,12/12/2012 05:35:00,12/12/2012 07:10:00,107.924,108.02,Short,-17.38,0,0,0,0,-17.38,LE,SE,3000047258
