Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
66559081,AUD/CAD,5000,09/30/2014 20:58:00,10/01/2014 21:50:00,0.97836,0.97841,Short,-0.22,0,0,-1.14,0,-1.36,Mkt,SE,3000047258
66558664,NZD/CAD,2000,10/01/2014 10:03:00,10/01/2014 10:46:00,0.87715,0.87514,Short,3.59,0,0,0,0,3.59,LE,LE,3000047258
66558762,NZD/CAD,3000,10/01/2014 10:03:00,10/01/2014 10:46:00,0.87715,0.87199,Short,13.83,0,0,0,0,13.83,LE,LE,3000047258
66589464,AUD/USD,2000,10/01/2014 22:37:00,10/02/2014 05:33:00,0.87962,0.87741,Short,4.42,0,0,0,0,4.42,LE,LE,3000047258
66589557,AUD/USD,2000,10/01/2014 22:37:00,10/02/2014 14:30:00,0.87962,0.8818,Short,-4.36,0,0,0,0,-4.36,LE,SE,3000047258
66586125,EUR/USD,4000,10/02/2014 09:14:00,10/02/2014 10:07:00,1.26827,1.263,Short,21.08,0,0,0,0,21.08,LE,LE,3000047258
66790312,GBP/CAD,4000,10/09/2014 20:34:00,10/09/2014 21:10:00,1.80321,1.80438,Short,-4.18,-0.48,0,0,0,-4.66,LE,SE,3000047258
66790320,GBP/CAD,4000,10/09/2014 20:34:00,10/09/2014 21:10:00,1.80321,1.80438,Short,-4.18,-0.48,0,0,0,-4.66,LE,SE,3000047258
67341446,EUR/GBP,5000,11/12/2014 06:24:00,11/12/2014 06:27:00,0.78771,0.78665,Short,8.41,-0.6,0,0,0,7.81,LE,LE,3000047258
67341557,EUR/GBP,5000,11/12/2014 06:24:00,11/12/2014 10:21:00,0.78771,0.78877,Short,-8.38,-0.6,0,0,0,-8.98,LE,SE,3000047258
67341716,USD/CAD,2000,11/12/2014 09:03:00,11/12/2014 09:50:00,1.13147,1.1287,Long,4.9,-0.24,0,0,0,4.66,LE,LE,3000047258
67341753,USD/CAD,1000,11/12/2014 09:03:00,11/13/2014 12:18:00,1.13642,1.1287,Long,6.79,-0.12,0,-0.08,0,6.59,LE,Mkt,3000047258
