Ticket #,Symbol,Volume,Open Date,Close Date,Sold,Bought,Direction,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Buy Condition,Sell Condition,Created By
51979907,EUR/USD,10000,11/14/2012 03:47:00,11/14/2012 04:45:00,1.27355,1.27507,Short,-15.2,0,0,0,0,-15.2,LE,SE,3000047258
52077875,EUR/USD,13000,11/20/2012 05:35:00,11/20/2012 08:15:00,1.2817,1.28141,Short,3.77,0,0,0,0,3.77,LE,SE,3000047258
52101307,EUR/USD,10000,11/20/2012 23:15:00,11/20/2012 23:15:00,1.2737,1.2747,Long,-10,0,0,0,0,-10,LE,SE,3000047258
52162030,AUD/USD,13000,11/26/2012 04:34:00,11/26/2012 17:04:00,1.04713,1.04439,Long,35.62,0,0,0.74,0,36.36,LE,LE,3000047258
52181387,EUR/USD,6000,11/29/2012 09:59:00,11/29/2012 20:19:00,1.30001,1.29839,Short,9.72,0,0,0.04,0,9.76,LE,SE,3000047258
52300004,EUR/USD,13000,12/03/2012 21:34:00,12/04/2012 02:42:00,1.30742,1.30482,Long,33.8,0,0,0,0,33.8,LE,LE,3000047258
52281219,EUR/USD,9000,12/04/2012 03:44:00,12/04/2012 06:39:00,1.30808,1.308,Short,0.72,0,0,0,0,0.72,LE,SE,3000047258
52308662,AUD/USD,15000,12/04/2012 07:47:00,12/05/2012 07:44:00,1.04763,1.04758,Short,0.75,0,0,-1.64,0,-0.89,LE,SE,3000047258
52323932,EUR/JPY,19000,12/05/2012 06:51:00,12/05/2012 07:21:00,107.272,107.358,Long,-19.89,0,0,0,0,-19.89,LE,SE,3000047258
52415111,USD/CAD,18000,12/10/2012 20:47:00,12/11/2012 04:16:00,0.98696,0.98777,Short,-14.76,0,0,0,0,-14.76,Mkt,SE,3000047258
52435199,EUR/JPY,24000,12/11/2012 19:00:00,12/11/2012 19:02:00,107.318,107.381,Long,-18.32,0,0,0,0,-18.32,LE,SE,3000047258
52339496,EUR/JPY,15000,12/12/2012 05:35:00,12/12/2012 07:10:00,107.924,108.02,Short,-17.38,0,0,0,0,-17.38,LE,SE,3000047258
53029685,AUD/USD,11000,01/15/2013 21:10:00,01/16/2013 00:11:00,1.05559,1.0566,Long,-11.11,0,0,0,0,-11.11,Mkt,SE,3000047258
53100595,EUR/USD,11000,01/17/2013 20:33:00,01/17/2013 20:58:00,1.33655,1.33755,Short,-11,0,0,0,0,-11,Mkt,SE,3000047258
53205869,EUR/USD,14000,01/23/2013 04:16:00,01/23/2013 04:20:00,1.33158,1.33057,Long,14.14,0,0,0,0,14.14,Mkt,Mkt,3000047258
53207225,EUR/USD,14000,01/23/2013 05:04:00,01/23/2013 05:18:00,1.33348,1.33459,Long,-15.54,0,0,0,0,-15.54,Mkt,SE,3000047258
53207645,EUR/USD,14000,01/23/2013 05:33:00,01/23/2013 05:47:00,1.33333,1.33278,Short,7.7,0,0,0,0,7.7,Mkt,SE,3000047258
53238318,EUR/USD,14000,01/24/2013 03:44:00,01/24/2013 03:45:00,1.33154,1.33192,Short,-5.32,0,0,0,0,-5.32,Mkt,Mkt,3000047258
53238783,EUR/USD,14000,01/24/2013 04:10:00,01/24/2013 04:16:00,1.33334,1.33301,Long,4.62,0,0,0,0,4.62,Mkt,SE,3000047258
53239394,EUR/USD,14000,01/24/2013 04:34:00,01/24/2013 04:51:00,1.33257,1.33235,Short,3.08,0,0,0,0,3.08,Mkt,SE,3000047258
53239715,EUR/USD,14000,01/24/2013 05:00:00,01/24/2013 05:10:00,1.33167,1.33269,Short,-14.28,0,0,0,0,-14.28,Mkt,SE,3000047258
53239954,EUR/USD,14000,01/24/2013 05:16:00,01/24/2013 05:29:00,1.33203,1.33304,Short,-14.14,0,0,0,0,-14.14,Mkt,SE,3000047258
53262834,AUD/USD,14000,01/24/2013 19:30:00,01/24/2013 20:18:00,1.04453,1.0455,Short,-13.58,0,0,0,0,-13.58,Mkt,SE,3000047258
53273549,NZD/USD,1000,01/25/2013 04:29:00,01/25/2013 04:32:00,0.8375,0.8385,Long,-1,0,0,0,0,-1,Mkt,SE,3000047258
53273721,NZD/USD,1000,01/25/2013 04:32:00,01/25/2013 04:54:00,0.83753,0.83856,Short,-1.03,0,0,0,0,-1.03,Mkt,SE,3000047258
53274204,EUR/USD,14000,01/25/2013 04:48:00,01/25/2013 04:56:00,1.34319,1.34366,Long,-6.58,0,0,0,0,-6.58,Mkt,Mkt,3000047258
53275125,EUR/USD,7000,01/25/2013 05:24:00,01/25/2013 05:32:00,1.34309,1.34412,Long,-7.21,0,0,0,0,-7.21,Mkt,SE,3000047258
53308448,EUR/USD,14000,01/28/2013 03:39:00,01/28/2013 03:42:00,1.34392,1.34388,Long,0.56,0,0,0,0,0.56,Mkt,Mkt,3000047258
53308908,EUR/USD,14000,01/28/2013 04:03:00,01/28/2013 04:13:00,1.34308,1.34409,Short,-14.14,0,0,0,0,-14.14,Mkt,SE,3000047258
53310187,EUR/USD,14000,01/28/2013 05:16:00,01/28/2013 05:50:00,1.34472,1.34518,Short,-6.44,0,0,0,0,-6.44,Mkt,Mkt,3000047258
53338453,EUR/USD,14000,01/29/2013 03:36:00,01/29/2013 03:37:00,1.3448,1.34583,Short,-14.42,0,0,0,0,-14.42,Mkt,SE,3000047258
53338470,EUR/USD,14000,01/29/2013 03:37:00,01/29/2013 03:59:00,1.34565,1.3456,Short,0.7,0,0,0,0,0.7,Mkt,Mkt,3000047258
53339348,EUR/USD,7000,01/29/2013 04:40:00,01/29/2013 04:52:00,1.34402,1.34505,Long,-7.21,0,0,0,0,-7.21,Mkt,SE,3000047258
53339864,EUR/USD,5000,01/29/2013 05:21:00,01/29/2013 05:30:00,1.34518,1.3445,Short,3.4,0,0,0,0,3.4,Mkt,Mkt,3000047258
53340230,EUR/USD,10000,01/29/2013 05:46:00,01/29/2013 05:48:00,1.34276,1.34378,Long,-10.2,0,0,0,0,-10.2,Mkt,SE,3000047258
53357163,EUR/USD,5000,01/30/2013 05:48:00,01/30/2013 10:05:00,1.3545,1.35703,Short,-12.65,0,0,0,0,-12.65,LE,SE,3000047258
